name	group	day	location	trt	window	trt_window
d42_cc_ther_141	d42_cc_ther	42	cc	ther	later	later_ther
d42_cc_ther_142	d42_cc_ther	42	cc	ther	later	later_ther
d42_cc_ther_143	d42_cc_ther	42	cc	ther	later	later_ther
d42_cc_ther_144	d42_cc_ther	42	cc	ther	later	later_ther
d42_cc_ther_146	d42_cc_ther	42	cc	ther	later	later_ther
d42_cc_ther_147	d42_cc_ther	42	cc	ther	later	later_ther
d42_cc_ther_148	d42_cc_ther	42	cc	ther	later	later_ther
d42_cc_ther_149	d42_cc_ther	42	cc	ther	later	later_ther
d42_cc_ther_150	d42_cc_ther	42	cc	ther	later	later_ther
d42_ic_ctrl_121	d42_ic_ctrl	42	ic	ctrl	later	later_ctrl
d42_ic_ctrl_122	d42_ic_ctrl	42	ic	ctrl	later	later_ctrl
d42_ic_ctrl_123	d42_ic_ctrl	42	ic	ctrl	later	later_ctrl
d42_ic_ctrl_124	d42_ic_ctrl	42	ic	ctrl	later	later_ctrl
d42_ic_ctrl_125	d42_ic_ctrl	42	ic	ctrl	later	later_ctrl
d42_ic_ctrl_126	d42_ic_ctrl	42	ic	ctrl	later	later_ctrl
d42_ic_ctrl_128	d42_ic_ctrl	42	ic	ctrl	later	later_ctrl
d42_ic_ctrl_129	d42_ic_ctrl	42	ic	ctrl	later	later_ctrl
d42_ic_ctrl_130	d42_ic_ctrl	42	ic	ctrl	later	later_ctrl
d42_ic_sub_131	d42_ic_sub	42	ic	sub	later	later_sub
d42_ic_sub_132	d42_ic_sub	42	ic	sub	later	later_sub
d42_ic_sub_133	d42_ic_sub	42	ic	sub	later	later_sub
d42_ic_sub_134	d42_ic_sub	42	ic	sub	later	later_sub
d42_ic_sub_135	d42_ic_sub	42	ic	sub	later	later_sub
d42_ic_sub_136	d42_ic_sub	42	ic	sub	later	later_sub
d42_ic_sub_137	d42_ic_sub	42	ic	sub	later	later_sub
d42_ic_sub_138	d42_ic_sub	42	ic	sub	later	later_sub
d42_ic_sub_140	d42_ic_sub	42	ic	sub	later	later_sub
d42_ic_ther_141	d42_ic_ther	42	ic	ther	later	later_ther
d42_ic_ther_142	d42_ic_ther	42	ic	ther	later	later_ther
d42_ic_ther_143	d42_ic_ther	42	ic	ther	later	later_ther
d42_ic_ther_144	d42_ic_ther	42	ic	ther	later	later_ther
d42_ic_ther_145	d42_ic_ther	42	ic	ther	later	later_ther
d42_ic_ther_146	d42_ic_ther	42	ic	ther	later	later_ther
d42_ic_ther_147	d42_ic_ther	42	ic	ther	later	later_ther
d42_ic_ther_148	d42_ic_ther	42	ic	ther	later	later_ther
d42_ic_ther_149	d42_ic_ther	42	ic	ther	later	later_ther
d42_ic_ther_150	d42_ic_ther	42	ic	ther	later	later_ther
d42_jc_ctrl_122	d42_jc_ctrl	42	jc	ctrl	later	later_ctrl
d42_jc_ctrl_123	d42_jc_ctrl	42	jc	ctrl	later	later_ctrl
d42_jc_ctrl_124	d42_jc_ctrl	42	jc	ctrl	later	later_ctrl
d42_jc_ctrl_125	d42_jc_ctrl	42	jc	ctrl	later	later_ctrl
d42_jc_ctrl_126	d42_jc_ctrl	42	jc	ctrl	later	later_ctrl
d42_jc_ctrl_127	d42_jc_ctrl	42	jc	ctrl	later	later_ctrl
d42_jc_ctrl_128	d42_jc_ctrl	42	jc	ctrl	later	later_ctrl
d42_jc_ctrl_129	d42_jc_ctrl	42	jc	ctrl	later	later_ctrl
d42_jc_ctrl_130	d42_jc_ctrl	42	jc	ctrl	later	later_ctrl
d42_jc_sub_131	d42_jc_sub	42	jc	sub	later	later_sub
d42_jc_sub_132	d42_jc_sub	42	jc	sub	later	later_sub
d42_jc_sub_134	d42_jc_sub	42	jc	sub	later	later_sub
d42_jc_sub_135	d42_jc_sub	42	jc	sub	later	later_sub
d42_jc_sub_136	d42_jc_sub	42	jc	sub	later	later_sub
